id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
28027439,83678,Hannah,Kauai,North Shore Kauai,22.2192,-159.49085,Entire home/apt,550,3,27,1,65,3,4.85,3.0,3.0,5.0,Home
27805318,14143158,Bethany,Kauai,Kapaa-Wailua,22.07316,-159.31737,Entire home/apt,139,7,5,159,7,1,5.0,1.0,1.0,1.0,Condo
27815807,116989071,Merris,Kauai,Koloa-Poipu,21.87699,-159.45862,Entire home/apt,289,3,194,2,303,36,4.98,1.0,1.0,1.0,Condo
27642589,115700802,Princeville Vacation Rentals,Kauai,North Shore Kauai,22.22128,-159.48059,Entire home/apt,259,1,49,61,234,10,4.8,3.0,3.0,5.0,Treehouse
27825336,90876278,Darlene,Kauai,North Shore Kauai,22.2270755323858,-159.48015711542544,Entire home/apt,477,1,134,1,209,32,4.87,1.0,1.0,2.0,Condo
28100643,211172190,Makai Club Resort,Kauai,North Shore Kauai,22.21742,-159.48557,Entire home/apt,300,1,512,2,203,34,4.73,1.0,1.0,1.0,Condo
28252195,61849963,Patty And Gerry,Kauai,Koloa-Poipu,21.88346,-159.47638,Entire home/apt,150,6,6,2,0,0,4.83,1.0,1.0,1.0,Condo
27854276,115700802,Princeville Vacation Rentals,Kauai,North Shore Kauai,22.2244,-159.47956,Entire home/apt,124,1,77,61,98,5,4.71,1.0,1.0,1.0,Rental unit
27855977,9375350,Deb,Kauai,Kapaa-Wailua,22.073109,-159.318085,Entire home/apt,214,3,143,2,113,39,4.93,1.0,1.0,1.0,Condo
28258360,135582861,Krystl,Kauai,Kapaa-Wailua,22.06074,-159.31924,Entire home/apt,322,3,87,2,146,13,4.84,2.0,2.0,1.0,Condo
28137604,212540967,Kyle,Kauai,Koloa-Poipu,21.87741,-159.46029,Entire home/apt,181,2,125,1,297,22,4.71,1.0,1.0,1.0,Condo
28283335,57787521,Enas,Kauai,Koloa-Poipu,21.86891,-159.44478,Entire home/apt,281,2,120,4,152,29,4.87,2.0,2.0,2.0,Condo
28309232,211172190,Makai Club Resort,Kauai,North Shore Kauai,22.21742,-159.48557,Entire home/apt,365,1,229,2,200,37,4.82,2.0,2.0,2.0,Condo
27899425,210750813,Mari,Kauai,North Shore Kauai,22.22045,-159.47848,Entire home/apt,281,3,70,3,300,21,4.74,2.0,2.0,1.0,Condo
28336820,213963120,Hanalei Bay Resort,Kauai,North Shore Kauai,22.22016,-159.49416,Entire home/apt,404,1,349,2,176,50,4.63,1.0,1.0,2.0,Condo
28183579,212867198,Marguerite,Kauai,North Shore Kauai,22.22528,-159.47415,Entire home/apt,580,7,67,1,179,27,5.0,4.0,4.0,3.0,Home
28668180,189104995,Kauai Kahuna,Kauai,North Shore Kauai,22.22575,-159.47305,Entire home/apt,200,3,21,47,162,11,4.95,2.0,2.0,2.0,Condo
28434661,63323328,Lyle Or Vivian,Kauai,Kapaa-Wailua,22.05346,-159.32662,Entire home/apt,185,5,7,6,0,4,4.57,1.0,1.0,2.0,Condo
28438178,42618840,Vacasa Kauai,Kauai,Koloa-Poipu,21.88379,-159.45696,Entire home/apt,454,2,47,36,346,8,4.89,3.0,3.0,5.0,Condo
28691455,31859615,Gary,Kauai,Koloa-Poipu,21.87527,-159.44826,Entire home/apt,970,1,3,15,148,1,5.0,4.0,4.0,5.0,Villa
28691506,31859615,Gary,Kauai,Koloa-Poipu,21.8733,-159.44622,Entire home/apt,582,1,7,15,253,2,4.71,3.0,3.0,3.0,Home
28691512,31859615,Gary,Kauai,Koloa-Poipu,21.87448,-159.446,Entire home/apt,764,1,7,15,195,1,5.0,4.0,4.0,5.0,Villa
28691516,31859615,Gary,Kauai,Koloa-Poipu,21.87318,-159.44795,Entire home/apt,679,1,3,15,239,1,4.67,3.0,3.0,3.0,Home
28691519,31859615,Gary,Kauai,Koloa-Poipu,21.87513,-159.44677,Entire home/apt,593,1,0,15,245,0,New,3.0,3.0,3.0,Villa
28691520,31859615,Gary,Kauai,Koloa-Poipu,21.87355,-159.44834,Entire home/apt,593,1,21,15,241,7,4.86,3.0,3.0,3.0,Home
28691521,31859615,Gary,Kauai,Koloa-Poipu,21.87485,-159.44774,Entire home/apt,679,1,1,15,204,0,New,3.0,3.0,3.0,Villa
28691522,31859615,Gary,Kauai,Koloa-Poipu,21.8747,-159.44641,Entire home/apt,825,1,7,15,153,0,4.71,4.0,4.0,5.0,Home
28691531,31859615,Gary,Kauai,Koloa-Poipu,21.87524,-159.44774,Entire home/apt,679,1,0,15,248,0,New,3.0,3.0,3.0,Home
28691532,31859615,Gary,Kauai,Koloa-Poipu,21.87468,-159.44658,Entire home/apt,565,2,3,15,240,1,5.0,3.0,3.0,3.0,Villa
28691533,31859615,Gary,Kauai,Koloa-Poipu,21.87344,-159.44833,Entire home/apt,668,1,8,15,203,0,4.13,3.0,3.0,3.0,Home
28691542,31859615,Gary,Kauai,Koloa-Poipu,21.87396,-159.44838,Entire home/apt,796,180,2,15,264,0,New,3.0,3.0,3.0,Home
28691544,31859615,Gary,Kauai,Koloa-Poipu,21.87376224162563,-159.4470733286277,Entire home/apt,899,1,10,15,237,3,4.6,4.0,4.0,3.0,Villa
28695423,8033870,Melissa And Ian,Kauai,North Shore Kauai,22.22393,-159.48798,Entire home/apt,299,2,133,16,21,27,4.96,1.0,1.0,1.0,Condo
28698035,216495693,Solomon,Kauai,Kapaa-Wailua,22.05526,-159.32639,Entire home/apt,188,2,132,1,240,49,4.89,1.0,1.0,1.0,Condo
28537588,215380037,Jared,Kauai,Kapaa-Wailua,22.07288,-159.31839,Entire home/apt,185,2,81,1,121,27,4.9,1.0,1.0,1.0,Condo
28560573,46746474,Victoria,Kauai,North Shore Kauai,22.22353,-159.47993,Entire home/apt,529,3,48,1,202,16,4.91,3.0,3.0,3.0,Condo
28715879,193695151,Malia,Kauai,Kapaa-Wailua,22.05707,-159.32663,Entire home/apt,200,1,84,1,156,23,4.75,1.0,1.0,1.0,Condo
28768183,53595817,Michael,Kauai,Koloa-Poipu,21.88552,-159.47817,Entire home/apt,1000,1,5,23,206,2,5.0,4.0,4.0,4.0,Home
