id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
1240279,6760782,Katherine,Honolulu,Ewa,21.34425,-158.12312,Entire home/apt,200,30,0,2,80,0,New,2.0,2.0,2.0,Condo
1028298,5658961,Lanikai,Honolulu,Koolaupoko,21.39279,-157.72011,Entire home/apt,150,29,1,1,84,1,New,20.0,20.0,5.0,Home
1268195,1859165,Aubrey,Honolulu,Koolaupoko,21.40007,-157.74056,Entire home/apt,395,30,21,2,166,3,4.84,3.0,3.0,2.0,Home
1291481,6551239,Nikki,Honolulu,Koolauloa,21.60311,-157.90068,Entire home/apt,450,6,35,1,78,16,5.0,3.0,3.0,2.0,Home
1637688,3131399,Ellen,Honolulu,North Shore Oahu,21.67883,-158.03697,Entire home/apt,175,90,20,1,135,3,4.95,2.0,2.0,5.0,Home
1646411,3152360,Tropical Studios At Marine Surf,Honolulu,Primary Urban Center,21.28019,-157.82739,Entire home/apt,141,1,60,20,333,4,4.67,0.0,2.0,1.0,Condo
2014800,10363580,Jennifer,Honolulu,Koolauloa,21.69899,-157.99387,Entire home/apt,512,1,393,3,266,41,4.68,2.0,2.0,2.0,Rental unit
1656201,8518525,Susan,Honolulu,Koolaupoko,21.40616,-157.74066,Entire home/apt,285,30,85,2,222,1,4.99,1.0,1.0,1.0,Cottage
1436904,7719195,Maria,Honolulu,Primary Urban Center,21.29242,-157.85074,Entire home/apt,140,30,43,1,179,4,4.74,0.0,1.0,1.0,Condo
1678564,8518525,Susan,Honolulu,Koolaupoko,21.40785,-157.74224,Entire home/apt,185,30,147,2,365,1,4.95,0.0,1.0,1.0,Cottage
1696807,2584581,J & R,Honolulu,Koolaupoko,21.38147,-157.72812,Entire home/apt,110,30,42,5,130,0,4.93,1.0,1.0,1.0,Rental unit
2056151,10529690,Roxanne,Honolulu,Primary Urban Center,21.25915,-157.79844,Private room,200,4,3,2,83,1,5.0,1.0,1.0,5.0,Home
2088200,10659328,Angel,Honolulu,Primary Urban Center,21.28987,-157.83828,Private room,124,6,84,1,365,21,4.73,1.0,1.0,0.0,Hotel
1720444,9069642,Douglas,Honolulu,Koolauloa,21.70027,-157.99213,Entire home/apt,343,2,172,1,265,28,4.83,1.0,1.0,1.0,Condo
