id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
783321744209300328,450044933,Grand Welcome,Hawaii,North Kona,19.60902,-155.97725,Entire home/apt,200,3,17,67,288,4,4.47,2.0,2.0,2.0,Condo
781562998595281314,399904825,RedAwning,Hawaii,North Kona,19.6306,-155.976,Entire home/apt,828,1,1,1,27,1,New,4.0,4.0,3.0,Villa
783327960262870399,450044933,Grand Welcome,Hawaii,North Kona,19.61492,-155.98404,Entire home/apt,105,5,13,67,270,6,4.46,1.0,1.0,1.0,Condo
784827665315207969,446991008,Heidi,Hawaii,South Kohala,19.9161438,-155.8848631,Entire home/apt,675,6,0,3,4,0,New,2.0,2.0,2.0,Rental unit
784827866714200965,96255708,Jeff And Suzanne,Hawaii,South Kohala,19.93853773691018,-155.87629982540895,Entire home/apt,1295,3,1,114,239,1,New,3.0,3.0,3.0,Rental unit
783332363789812614,450044933,Grand Welcome,Hawaii,North Kona,19.63199,-155.98725,Entire home/apt,130,3,13,67,362,1,4.54,1.0,1.0,1.0,Condo
784835132189222095,457152913,Todd,Hawaii,North Kona,19.62562,-155.98738,Entire home/apt,215,2,2,71,90,2,New,2.0,2.0,2.0,Rental unit
783333011622349709,450044933,Grand Welcome,Hawaii,North Kona,19.6306,-155.98856,Entire home/apt,119,2,12,67,311,1,4.0,1.0,1.0,1.0,Condo
783334137034731765,450044933,Grand Welcome,Hawaii,North Kona,19.61027,-155.97786,Entire home/apt,105,2,9,67,307,2,4.89,2.0,2.0,2.0,Condo
783335201064715893,450044933,Grand Welcome,Hawaii,North Kona,19.62932,-155.98711,Entire home/apt,248,5,4,67,197,1,5.0,2.0,2.0,2.0,Condo
784846793636630076,457152913,Todd,Hawaii,North Kona,19.62414,-155.986,Entire home/apt,215,2,1,71,90,1,New,2.0,2.0,2.0,Rental unit
783342941415992987,450044933,Grand Welcome,Hawaii,North Kona,19.59338,-155.96939,Entire home/apt,125,3,17,67,312,3,4.06,1.0,1.0,1.0,Condo
786255515508158852,492166825,Bradley,Hawaii,North Kona,19.62541987640952,-155.98746242757892,Private room,653,7,0,3,167,0,New,2.0,2.0,2.0,Hotel
783344717332393157,450044933,Grand Welcome,Hawaii,South Kohala,19.94739,-155.85796,Entire home/apt,365,5,1,67,273,0,New,3.0,3.0,5.0,Townhouse
783348148137728352,450044933,Grand Welcome,Hawaii,South Kohala,19.94744,-155.85638,Entire home/apt,150,5,3,67,304,1,4.67,2.0,2.0,5.0,Townhouse
